新聞頻道,#genre#
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226532/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226582/index.m3u8
黑龍江衛視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226585/index.m3u8

黑龍江,#genre#
黑龍江少兒,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龍江文體,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龍江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龍江新聞法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龍江農業科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龍江影視,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8

數字頻道,#genre#
紀實人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
紀實科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
超級電影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超級電視劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
黑莓電影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
精品大劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品紀錄,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
東北熱劇,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
軍旅劇場,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
家庭劇場,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
海外劇場,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
歡樂劇場,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
驚悚懸疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
金牌綜藝,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
哈哈炫動,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
軍事評論,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
超級綜藝,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
超級體育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
黑莓動畫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
潮媽辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
噠啵赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
優漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
精品萌寵,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
精品體育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
卡酷少兒,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
中國功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
